model_name,auroc,accuracy,specificity,sensibility,precision,f1_score
kNN,0.7623376623376623,0.7608695652173914,0.9142857142857143,0.2727272727272727,0.5,0.3529411764705882
RF,0.916883116883117,0.9130434782608695,0.9714285714285714,0.7272727272727273,0.8888888888888888,0.7999999999999999
Bagging,0.887012987012987,0.8043478260869565,0.8857142857142857,0.5454545454545454,0.6,0.5714285714285713
BN,0.7779220779220779,0.8043478260869565,0.8285714285714286,0.7272727272727273,0.5714285714285714,0.64
J48-DT,0.8662337662337662,0.8913043478260869,0.9142857142857143,0.8181818181818182,0.75,0.7826086956521738
Part,0.7519480519480519,0.8478260869565217,1.0,0.36363636363636365,1.0,0.5333333333333333
MLP,0.8701298701298701,0.782608695652174,0.8571428571428571,0.5454545454545454,0.5454545454545454,0.5454545454545454
FURIA,0.8558441558441559,0.8043478260869565,0.8285714285714286,0.7272727272727273,0.5714285714285714,0.64
Ridor,0.7519480519480519,0.8478260869565217,1.0,0.36363636363636365,1.0,0.5333333333333333
LogitBoost,0.638961038961039,0.7608695652173914,1.0,0.0,,
AdaBoost,0.8805194805194806,0.9130434782608695,0.9428571428571428,0.8181818181818182,0.8181818181818182,0.8181818181818182
BLR,0.9142857142857143,0.8478260869565217,0.8857142857142857,0.7272727272727273,0.6666666666666666,0.6956521739130435
SVM,0.9090909090909092,0.7608695652173914,1.0,0.0,,
MultiBoostAB,0.8935064935064935,0.8695652173913043,0.8857142857142857,0.8181818181818182,0.6923076923076923,0.7500000000000001
NBN,0.7779220779220779,0.8043478260869565,0.8285714285714286,0.7272727272727273,0.5714285714285714,0.64
Stacking,0.8064935064935065,0.8478260869565217,0.8857142857142857,0.7272727272727273,0.6666666666666666,0.6956521739130435
Vote,0.7519480519480519,0.8478260869565217,1.0,0.36363636363636365,1.0,0.5333333333333333
XGBoost,0.9324675324675324,0.8695652173913043,0.9142857142857143,0.7272727272727273,0.7272727272727273,0.7272727272727273
DNNs,0.8701298701298701,0.782608695652174,0.8571428571428571,0.5454545454545454,0.5454545454545454,0.5454545454545454
ID3,0.7519480519480519,0.8478260869565217,1.0,0.36363636363636365,1.0,0.5333333333333333
CART,0.8662337662337662,0.8913043478260869,0.9142857142857143,0.8181818181818182,0.75,0.7826086956521738
